Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240624181100+0200
Total computation time :  19.554332494735718
Optimisation computation time :  1.371793270111084
Real distance :  8718.083261120686
Turning_radius :  5.0
Real Dubins distance :  8986.11873946603
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240624181301+0200
Total computation time :  19.51375126838684
Optimisation computation time :  1.308830976486206
Real distance :  8718.083261120686
Turning_radius :  5.0
Real Dubins distance :  9848.46567018179
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240625145252+0200
Total computation time :  20.99917769432068
Optimisation computation time :  1.3162643909454346
Real distance :  8718.083261120686
Turning_radius :  20.0
Real Dubins distance :  42596.32184347897
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240625145339+0200
Total computation time :  22.939292192459106
Optimisation computation time :  1.3139381408691406
Real distance :  8718.083261120686
Turning_radius :  20.0
Real Dubins distance :  58268.89347944994
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240625145517+0200
Total computation time :  20.52074146270752
Optimisation computation time :  1.3757481575012207
Real distance :  8718.083261120686
Turning_radius :  15.0
Real Dubins distance :  45860.38448127887
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714121040+0200
Total computation time :  16.603344917297363
Optimisation computation time :  2.1457672119140625e-06
Real distance :  0
Turning_radius :  15.0
Real Dubins distance :  0.0
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714121121+0200
Total computation time :  20.146411657333374
Optimisation computation time :  1.1812384128570557
Real distance :  8718.083261120686
Turning_radius :  15.0
Real Dubins distance :  45860.38448127887
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714122705+0200
Total computation time :  17.347066402435303
Optimisation computation time :  1.179905891418457
Real distance :  8718.083261120686
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714143042+0200
Total computation time :  17.20098376274109
Optimisation computation time :  1.264051914215088
Real distance :  8718.083261120686
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714143214+0200
Total computation time :  20.957682371139526
Optimisation computation time :  1.4191169738769531
Real distance :  8718.083261120686
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714143749+0200
Total computation time :  21.304609298706055
Optimisation computation time :  1.838273048400879
Real distance :  8718.083261120686
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714143914+0200
Total computation time :  18.84574818611145
Optimisation computation time :  1.413541555404663
Real distance :  8718.083261120686
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714144106+0200
Total computation time :  19.941468715667725
Optimisation computation time :  1.4706964492797852
Real distance :  8718.083261120686
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714144555+0200
Total computation time :  18.342139959335327
Optimisation computation time :  1.1700949668884277
Real distance :  8718.083261120686
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714144650+0200
Total computation time :  22.105084896087646
Optimisation computation time :  1.2943992614746094
Real distance :  8718.083261120686
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714145905+0200
Total computation time :  18.851748943328857
Optimisation computation time :  1.2116401195526123
Real distance :  8718.083261120686
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  10
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714150034+0200
Total computation time :  21.228450536727905
Optimisation computation time :  1.3366873264312744
Real distance :  8718.083261120686
Total number of point to cover :  512
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714152551+0200
Total computation time :  33.119208574295044
Optimisation computation time :  33.05758714675903
Turning_radius :  5
Real Dubins distance :  2116.206516479694
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714152732+0200
Total computation time :  32.261831521987915
Optimisation computation time :  32.201759576797485
Turning_radius :  40
Real Dubins distance :  3022.3127633362255
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240714153231+0200
Total computation time :  34.739848613739014
Optimisation computation time :  34.6789755821228
Turning_radius :  38
Real Dubins distance :  2341.689301114644
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  30
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240716123003+0200
Total computation time :  726.4241373538971
Optimisation computation time :  726.2069706916809
Turning_radius :  25
Real Dubins distance :  2989.7606988161547
Total number of point to cover :  56
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  30
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  -1
Start time :  20240716124550+0200
Total computation time :  623.3854460716248
Optimisation computation time :  623.1518726348877
Turning_radius :  30
Real Dubins distance :  3670.247201417712
Total number of point to cover :  56
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  2
Method of optimisation :  cpp
Obstacles :  -1
Start time :  20240716141612+0200
Total computation time :  0.09469747543334961
Optimisation computation time :  0.031859636306762695
Real distance :  2152.6660889654822
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  2
Method of optimisation :  cpp
Obstacles :  -1
Start time :  20240716141708+0200
Total computation time :  0.09677338600158691
Optimisation computation time :  0.033715248107910156
Real distance :  2152.6660889654822
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  2
Method of optimisation :  python
Obstacles :  -1
Start time :  20240716141811+0200
Total computation time :  0.11053729057312012
Optimisation computation time :  0.04806780815124512
Real distance :  2152.6660889654822
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  2
Method of optimisation :  python
Obstacles :  -1
Start time :  20240716142140+0200
Total computation time :  32.467639207839966
Optimisation computation time :  32.38932538032532
Turning_radius :  30
Real Dubins distance :  2196.764335254705
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  1
Method of optimisation :  python
Obstacles :  -1
Start time :  20240716142904+0200
Total computation time :  1.5365850925445557
Optimisation computation time :  1.4759681224822998
Real distance :  2152.6660889654822
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  1
Method of optimisation :  python
Obstacles :  -1
Start time :  20240716143018+0200
Total computation time :  2.066804885864258
Optimisation computation time :  1.977226734161377
Real distance :  2040.0
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  1
Method of optimisation :  python
Obstacles :  -1
Start time :  20240716143838+0200
Total computation time :  2.5706777572631836
Optimisation computation time :  2.5095176696777344
Real distance :  2040.0
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  1
Method of optimisation :  python
Obstacles :  -1
Start time :  20240716144143+0200
Total computation time :  33.465752363204956
Optimisation computation time :  33.40442371368408
Turning_radius :  30
Real Dubins distance :  2531.3340860421386
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  1
Method of optimisation :  python
Obstacles :  -1
Start time :  20240716144731+0200
Total computation time :  366.808580160141
Optimisation computation time :  366.7470052242279
Turning_radius :  30
Real Dubins distance :  2099.5271962865886
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  40
Optimisation algorithm :  2
Method of optimisation :  python
Obstacles :  -1
Start time :  20240716145420+0200
Total computation time :  9.17546558380127
Optimisation computation time :  9.11207914352417
Turning_radius :  30
Real Dubins distance :  2118.658179470888
Total number of point to cover :  30
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  30
Optimisation algorithm :  2
Method of optimisation :  python
Obstacles :  -1
Start time :  20240716152927+0200
Total computation time :  117.22739291191101
Optimisation computation time :  117.01381349563599
Turning_radius :  30
Real Dubins distance :  3783.633678721312
Total number of point to cover :  56
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  30
Optimisation algorithm :  3
Method of optimisation :  tsp_to_dubins
Obstacles :  -1
Start time :  20240716155339+0200
Total computation time :  102.45538330078125
Optimisation computation time :  102.25056838989258
Turning_radius :  30
Real Dubins distance :  4078.833853336879
Total number of point to cover :  56
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  30
Optimisation algorithm :  3
Method of optimisation :  tsp_to_dubins
Obstacles :  -1
Start time :  20240716155722+0200
Total computation time :  616.8559157848358
Optimisation computation time :  616.6291060447693
Turning_radius :  30
Real Dubins distance :  3696.942521800306
Total number of point to cover :  56
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  30
Optimisation algorithm :  0
Method of optimisation :  python
Obstacles :  -1
Start time :  20240716160758+0200
Total computation time :  618.151570558548
Optimisation computation time :  617.8939769268036
Turning_radius :  30
Real Dubins distance :  3862.6777957687427
Total number of point to cover :  56
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  30
Optimisation algorithm :  3
Method of optimisation :  tsp_to_dubins
Obstacles :  -1
Start time :  20240716162051+0200
Total computation time :  640.7632622718811
Optimisation computation time :  640.5613031387329
Turning_radius :  30
Real Dubins distance :  3809.5225822184493
Total number of point to cover :  56
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  30
Optimisation algorithm :  3
